leaf_code,category_path,l1
01.001.001.001,劳保 / 足部防护 / 足部防护其它 / 足部防护其它,劳保
01.001.001.002,劳保 / 足部防护 / 足部防护其它 / 袜子,劳保
01.001.001.003,劳保 / 足部防护 / 足部防护其它 / 鞋垫,劳保
01.001.001.004,劳保 / 足部防护 / 足部防护其它 / 防护脚盖,劳保
01.001.002.001,劳保 / 足部防护 / 安全鞋 / 绝缘安全鞋,劳保
01.001.002.002,劳保 / 足部防护 / 安全鞋 / 防静电安全鞋,劳保
01.001.002.003,劳保 / 足部防护 / 安全鞋 / 多功能安全鞋,劳保
01.001.002.004,劳保 / 足部防护 / 安全鞋 / 防砸安全鞋,劳保
01.001.002.005,劳保 / 足部防护 / 安全鞋 / 耐高温安全鞋,劳保
01.001.002.006,劳保 / 足部防护 / 安全鞋 / 消防鞋,劳保
01.001.002.007,劳保 / 足部防护 / 安全鞋 / 冬季安全鞋,劳保
01.001.002.008,劳保 / 足部防护 / 安全鞋 / 夏季安全鞋,劳保
01.001.002.009,劳保 / 足部防护 / 安全鞋 / 翻毛安全鞋,劳保
01.001.002.010,劳保 / 足部防护 / 安全鞋 / 运动安全鞋,劳保
01.001.002.011,劳保 / 足部防护 / 安全鞋 / 网布安全鞋,劳保
01.001.002.012,劳保 / 足部防护 / 安全鞋 / 皮面安全鞋,劳保
01.001.003.001,劳保 / 足部防护 / 防护靴 / 特种防护靴,劳保
01.001.003.002,劳保 / 足部防护 / 防护靴 / 绝缘安全靴,劳保
01.001.003.003,劳保 / 足部防护 / 防护靴 / 雨鞋,劳保
01.001.003.004,劳保 / 足部防护 / 防护靴 / 防化靴,劳保
01.001.003.005,劳保 / 足部防护 / 防护靴 / 食品靴,劳保
01.001.003.006,劳保 / 足部防护 / 防护靴 / 消防靴,劳保
01.001.003.007,劳保 / 足部防护 / 防护靴 / 救援靴,劳保
01.001.003.008,劳保 / 足部防护 / 防护靴 / 矿工靴,劳保
01.001.004.001,劳保 / 足部防护 / 鞋套 / 普通鞋套,劳保
01.001.004.002,劳保 / 足部防护 / 鞋套 / 防护鞋套,劳保
01.001.004.003,劳保 / 足部防护 / 鞋套 / 鞋套机,劳保
01.001.004.004,劳保 / 足部防护 / 鞋套 / 防水鞋套,劳保
01.001.004.005,劳保 / 足部防护 / 鞋套 / 防化鞋套,劳保
01.001.004.006,劳保 / 足部防护 / 鞋套 / 洁净鞋套,劳保
01.001.004.007,劳保 / 足部防护 / 鞋套 / 医用隔离鞋套,劳保
01.001.005.001,劳保 / 足部防护 / 工作鞋 / 普通工作鞋,劳保
01.001.005.002,劳保 / 足部防护 / 工作鞋 / 护士鞋,劳保
01.001.005.003,劳保 / 足部防护 / 工作鞋 / 户外鞋,劳保
01.001.005.004,劳保 / 足部防护 / 工作鞋 / 作训鞋,劳保
01.001.005.005,劳保 / 足部防护 / 工作鞋 / 行政鞋,劳保
01.001.005.006,劳保 / 足部防护 / 工作鞋 / 拖鞋,劳保
01.001.005.007,劳保 / 足部防护 / 工作鞋 / 防静电鞋,劳保
01.001.005.008,劳保 / 足部防护 / 工作鞋 / 布鞋,劳保
01.002.001.001,劳保 / 身体防护 / 防护服 / 特种防护服,劳保
01.002.001.002,劳保 / 身体防护 / 防护服 / 防化服,劳保
01.002.001.003,劳保 / 身体防护 / 防护服 / 消防服,劳保
01.002.001.004,劳保 / 身体防护 / 防护服 / 隔离衣,劳保
01.002.001.005,劳保 / 身体防护 / 防护服 / 普通防护服,劳保
01.002.001.006,劳保 / 身体防护 / 防护服 / 防辐射服,劳保
01.002.001.007,劳保 / 身体防护 / 防护服 / 马甲,劳保
01.002.001.008,劳保 / 身体防护 / 防护服 / 喷砂服,劳保
01.002.001.009,劳保 / 身体防护 / 防护服 / 医用隔离衣,劳保
01.002.001.010,劳保 / 身体防护 / 防护服 / 防蜂服,劳保
01.002.001.011,劳保 / 身体防护 / 防护服 / 防寒服,劳保
01.002.001.012,劳保 / 身体防护 / 防护服 / 隔热服,劳保
01.002.001.013,劳保 / 身体防护 / 防护服 / 焊接防护服,劳保
01.002.001.014,劳保 / 身体防护 / 防护服 / 超低温防护服,劳保
01.002.001.015,劳保 / 身体防护 / 防护服 / 耐高温防护服,劳保
01.002.001.016,劳保 / 身体防护 / 防护服 / 重型防化服,劳保
01.002.001.017,劳保 / 身体防护 / 防护服 / 中型防化服,劳保
